Date/Time,weighted_average
 07/01  00:01:00,16.46805695504602
 07/01  00:02:00,13.030976884565709
 07/01  00:03:00,13.47676973573407
 07/01  00:04:00,15.348290599412021
 07/01  00:05:00,17.171023506282005
 07/01  00:06:00,18.536326406259512
 07/01  00:07:00,19.509548022479823
 07/01  00:08:00,20.237099808333713
 07/01  00:09:00,20.81827518207334
 07/01  00:10:00,21.301755108104324
 07/01  00:11:00,21.709570263538012
 07/01  00:12:00,22.054229767138505
 07/01  00:13:00,22.34569133738522
 07/01  00:14:00,22.594185604131653
 07/01  00:15:00,22.80818405740173
 07/01  00:16:00,22.99402914536832
 07/01  00:17:00,23.156460301745657
 07/01  00:18:00,23.29916574752462
 07/01  00:19:00,23.425131240437416
 07/01  00:20:00,23.53702645723318
 07/01  00:21:00,23.637069498072652
 07/01  00:22:00,23.727017927502118
 07/01  00:23:00,23.808284601450296
 07/01  00:24:00,23.882002985446608
 07/01  00:25:00,23.94909776843034
 07/01  00:26:00,24.010401431008482
 07/01  00:27:00,24.06664307177672
 07/01  00:28:00,24.11844410956534
 07/01  00:29:00,24.166333941685952
 07/01  00:30:00,24.21077152619879
 07/01  00:31:00,24.252156395773632
 07/01  00:32:00,24.29083332025966
 07/01  00:33:00,24.327108063141115
 07/01  00:34:00,24.361257404189697
 07/01  00:35:00,24.393535666301624
 07/01  00:36:00,24.424180834515806
 07/01  00:37:00,24.453405941450217
 07/01  00:38:00,24.481414859425914
 07/01  00:39:00,24.50847171012525
 07/01  00:40:00,24.53460302766901
 07/01  00:41:00,24.559740522297258
 07/01  00:42:00,24.583842618259343
 07/01  00:43:00,24.60690861950107
 07/01  00:44:00,24.628955662078322
 07/01  00:45:00,24.65001325922786
 07/01  00:46:00,24.67012154095044
 07/01  00:47:00,24.68932764554413
 07/01  00:48:00,24.707680846370128
 07/01  00:49:00,24.72522954845843
 07/01  00:50:00,24.742008608160518
 07/01  00:51:00,24.758051756499068
 07/01  00:52:00,24.77339686592732
 07/01  00:53:00,24.78808445852935
