,events.out.tfevents.1680471776.a53ed19ff0d2.11281.0
0,-774.2149658203125
1,-881.5741577148438
2,-793.4166259765625
3,-870.3065185546875
4,-892.8339233398438
5,-947.958740234375
6,-813.8512573242188
7,-743.3613891601562
8,-868.0496826171875
9,-897.1038818359375
10,-833.793212890625
11,-830.7366943359375
12,-828.8607788085938
13,-800.5565185546875
14,-845.3535766601562
15,-845.0220947265625
16,-868.6356811523438
17,-852.73828125
18,-842.94580078125
19,-781.507568359375
20,-885.1220703125
21,-782.3394775390625
22,-858.3726806640625
23,-730.1322631835938
24,-822.3343505859375
25,-712.5404052734375
26,-924.6612548828125
27,-873.0517578125
28,-593.5890502929688
29,-805.5235595703125
30,-649.482421875
31,-655.7949829101562
32,-843.41650390625
33,-906.9019775390625
34,-901.82177734375
35,-772.275390625
36,-723.1873779296875
37,-785.3872680664062
38,-713.2906494140625
39,-702.6033325195312
40,-744.176025390625
41,-818.341552734375
42,-834.2549438476562
43,-815.6609497070312
44,-867.4547729492188
45,-723.5759887695312
46,-717.92724609375
47,-818.1286010742188
48,-731.8693237304688
49,-729.8677978515625
50,-839.8512573242188
51,-656.0494384765625
52,-702.637451171875
53,-750.6015014648438
54,-759.6737670898438
55,-626.2974243164062
56,-696.5864868164062
57,-647.5948486328125
58,-744.20263671875
59,-525.236572265625
60,-512.8695068359375
61,-615.0851440429688
62,-769.9866333007812
63,-568.957275390625
64,-582.9671020507812
65,-725.6640014648438
66,-589.1633911132812
67,-707.114501953125
68,-519.6936645507812
69,-576.827880859375
70,-560.8399047851562
71,-589.1236572265625
72,-664.340087890625
73,-566.3201293945312
74,-592.7940063476562
75,-585.2188720703125
76,-730.4476928710938
77,-510.5271911621094
78,-732.8214111328125
79,-666.7489624023438
80,-638.3756713867188
81,-532.2339477539062
82,-595.7108764648438
83,-671.4331665039062
84,-653.545166015625
85,-512.8514404296875
86,-480.7933654785156
87,-589.6743774414062
88,-647.7980346679688
89,-730.7041015625
90,-656.2884521484375
91,-594.7708129882812
92,-615.882080078125
93,-485.0410461425781
94,-665.4655151367188
95,-528.4254760742188
96,-714.0948486328125
97,-491.40924072265625
98,-552.3466186523438
99,-515.4798583984375
100,-538.7555541992188
101,-673.6636962890625
102,-522.214599609375
103,-642.0260009765625
104,-398.27777099609375
105,-492.75732421875
106,-579.0992431640625
107,-483.36968994140625
108,-571.16064453125
109,-365.9502868652344
110,-518.6591796875
111,-543.0161743164062
112,-541.4715576171875
113,-516.5206298828125
114,-550.4265747070312
115,-439.1712646484375
116,-393.56243896484375
117,-367.54412841796875
118,-446.1018981933594
119,-477.3431091308594
120,-430.1307678222656
121,-553.2512817382812
122,-465.74774169921875
123,-541.0235595703125
124,-436.74139404296875
125,-529.7776489257812
126,-400.058349609375
127,-435.07843017578125
128,-520.0093383789062
129,-396.568603515625
130,-430.2793273925781
131,-474.1000061035156
132,-424.1808166503906
133,-506.3025207519531
134,-412.18341064453125
135,-494.53204345703125
136,-370.1427307128906
137,-442.5787658691406
138,-358.7451171875
139,-407.05810546875
140,-453.58599853515625
141,-452.7234191894531
142,-489.8339538574219
143,-407.3200988769531
144,-372.5528564453125
145,-410.878662109375
146,-418.1997375488281
147,-373.4223327636719
148,-382.2652282714844
149,-440.20635986328125
150,-448.4839782714844
151,-335.59619140625
152,-337.71929931640625
153,-386.472412109375
154,-329.2033386230469
155,-369.521240234375
156,-323.9866027832031
157,-498.50457763671875
158,-260.25054931640625
159,-368.3337707519531
160,-358.2164611816406
161,-408.0426940917969
162,-229.09083557128906
163,-353.392822265625
164,-408.3946838378906
165,-331.6624755859375
166,-408.4892883300781
167,-311.01416015625
168,-365.4828186035156
169,-420.60736083984375
170,-327.28564453125
171,-347.6629638671875
172,-300.6278381347656
173,-279.9310302734375
174,-377.79290771484375
175,-331.4685974121094
176,-324.32525634765625
177,-276.6628112792969
178,-282.3839416503906
179,-309.6722717285156
180,-227.4158935546875
181,-255.2961883544922
182,-303.73468017578125
183,-305.0515441894531
184,-258.71661376953125
185,-149.6016845703125
186,-405.4091796875
187,-338.9981689453125
188,-285.32470703125
189,-321.83758544921875
190,-344.3471374511719
191,-282.1170349121094
192,-317.3605041503906
193,-224.1849822998047
194,-270.421142578125
195,-201.61361694335938
196,-312.4533996582031
197,-174.52943420410156
198,-337.27117919921875
199,-185.7330322265625
