,events.out.tfevents.1680489891.d2002b779051.31779.0
0,-843.1867065429688
1,-774.0996704101562
2,-940.7090454101562
3,-780.7722778320312
4,-922.1416625976562
5,-930.2265625
6,-945.0532836914062
7,-894.237548828125
8,-821.4611206054688
9,-840.5829467773438
10,-844.739501953125
11,-788.1526489257812
12,-833.3033447265625
13,-872.6783447265625
14,-662.9515380859375
15,-772.7571411132812
16,-780.7328491210938
17,-882.0238037109375
18,-860.4147338867188
19,-703.8175048828125
20,-682.1558837890625
21,-845.6331176757812
22,-816.7171630859375
23,-770.2321166992188
24,-770.8869018554688
25,-753.9121704101562
26,-786.2687377929688
27,-890.424560546875
28,-821.8779907226562
29,-765.642822265625
30,-876.60498046875
31,-804.1062622070312
32,-804.9231567382812
33,-917.1072998046875
34,-752.2239990234375
35,-735.9938354492188
36,-651.1377563476562
37,-819.552734375
38,-767.0289306640625
39,-723.9124755859375
40,-817.9772338867188
41,-661.474609375
42,-698.6532592773438
43,-704.4619750976562
44,-887.7755737304688
45,-752.5272216796875
46,-696.3601684570312
47,-877.7778930664062
48,-664.9874877929688
49,-832.235107421875
50,-583.0505981445312
51,-900.6898193359375
52,-529.1389770507812
53,-767.1958618164062
54,-798.2474365234375
55,-799.4744873046875
56,-774.8848876953125
57,-696.0235595703125
58,-773.3607177734375
59,-681.66259765625
60,-711.7855224609375
61,-790.4779663085938
62,-820.4869995117188
63,-556.6591796875
64,-750.5379638671875
65,-555.7875366210938
66,-659.016357421875
67,-660.9397583007812
68,-688.6143188476562
69,-586.462158203125
70,-641.2195434570312
71,-762.8023681640625
72,-569.6018676757812
73,-619.1650390625
74,-738.7314453125
75,-719.8881225585938
76,-699.80322265625
77,-636.5521850585938
78,-681.8717651367188
79,-615.6200561523438
80,-744.0658569335938
81,-556.9205932617188
82,-785.2601928710938
83,-601.3387451171875
84,-593.8923950195312
85,-533.0523071289062
86,-617.31689453125
87,-481.7004699707031
88,-496.063232421875
89,-612.5285034179688
90,-536.1653442382812
91,-512.456787109375
92,-515.194580078125
93,-618.3740234375
94,-563.3886108398438
95,-593.5703125
96,-682.76806640625
97,-561.2736206054688
98,-583.00830078125
99,-548.5285034179688
100,-617.0911865234375
101,-552.06689453125
102,-580.0076293945312
103,-602.5053100585938
104,-571.5652465820312
105,-485.90655517578125
106,-604.5374145507812
107,-450.6085205078125
108,-407.5323791503906
109,-529.343505859375
110,-454.16375732421875
111,-538.1749267578125
112,-629.7247924804688
113,-489.3542175292969
114,-447.2103576660156
115,-485.6521911621094
116,-458.1122131347656
117,-508.0178527832031
118,-517.291748046875
119,-406.5589599609375
120,-475.80657958984375
121,-408.028564453125
122,-437.4111328125
123,-428.7099609375
124,-443.2809753417969
125,-464.5452880859375
126,-433.4519958496094
127,-466.8101806640625
128,-471.8433532714844
129,-439.1782531738281
130,-500.43621826171875
131,-424.05615234375
