Date/Time,qint_lump
 07/01  00:01:00,521.7767395376852
 07/01  00:02:00,571.1493273260932
 07/01  00:03:00,562.1253671255798
 07/01  00:04:00,532.7276023193934
 07/01  00:05:00,505.27440430493886
 07/01  00:06:00,485.52872000358974
 07/01  00:07:00,472.0839358969646
 07/01  00:08:00,462.4641664533624
 07/01  00:09:00,455.0504470064776
 07/01  00:10:00,449.06892056858305
 07/01  00:11:00,444.17805193641476
 07/01  00:12:00,440.1869917457694
 07/01  00:13:00,436.9428995725103
 07/01  00:14:00,434.2949237674879
 07/01  00:15:00,432.124468670257
 07/01  00:16:00,430.3410315401023
 07/01  00:17:00,428.8758207757653
 07/01  00:18:00,427.67523932458835
 07/01  00:19:00,426.6963545900223
 07/01  00:20:00,425.90201487955756
 07/01  00:21:00,425.2615503545846
 07/01  00:22:00,424.7505283137234
 07/01  00:23:00,424.34920898362793
 07/01  00:24:00,424.04286107336736
 07/01  00:25:00,423.82019714221343
 07/01  00:26:00,423.67106680490264
 07/01  00:27:00,423.58634202930966
 07/01  00:28:00,423.55804932058163
 07/01  00:29:00,423.5793272166662
 07/01  00:30:00,423.64415978988814
 07/01  00:31:00,423.7473799032575
 07/01  00:32:00,423.88462622535206
 07/01  00:33:00,424.0521183678226
 07/01  00:34:00,424.24651308670826
 07/01  00:35:00,424.46484960161786
 07/01  00:36:00,424.70451898880106
 07/01  00:37:00,424.96322493686506
 07/01  00:38:00,425.2390627742314
 07/01  00:39:00,425.53035829176196
 07/01  00:40:00,425.8355697067634
 07/01  00:41:00,426.1532835778888
 07/01  00:42:00,426.48222491872883
 07/01  00:43:00,426.8212511951733
 07/01  00:44:00,427.1694303051237
 07/01  00:45:00,427.5259260497277
 07/01  00:46:00,427.8899237560306
 07/01  00:47:00,428.2606096244963
 07/01  00:48:00,428.6372318010324
 07/01  00:49:00,429.01914174291824
 07/01  00:50:00,429.40602329792193
 07/01  00:51:00,429.79761721354987
 07/01  00:52:00,430.193612648346
 07/01  00:53:00,430.5936560418506
 07/01  00:54:00,430.9973754005974
 07/01  00:55:00,431.4043767633256
 07/01  00:56:00,431.81424656724164
 07/01  00:57:00,432.22667135239845
 07/01  00:58:00,432.64170091768636
 07/01  00:59:00,433.05937407582115
 07/01  01:00:00,433.4796559186669
 07/01  01:01:00,433.31113490267904
 07/01  01:02:00,433.1480218998113
 07/01  01:03:00,432.9903738699986
 07/01  01:04:00,432.8378445520785
 07/01  01:05:00,432.6900346077858
 07/01  01:06:00,432.5465954119324
 07/01  01:07:00,432.4072310562714
 07/01  01:08:00,432.2717215946183
 07/01  01:09:00,432.13986928392364
 07/01  01:10:00,432.0115157303702
 07/01  01:11:00,431.8863797650133
 07/01  01:12:00,431.7642782424888
 07/01  01:13:00,431.64500478871423
 07/01  01:14:00,431.5284654046466
 07/01  01:15:00,431.41457302551544
 07/01  01:16:00,431.3031909453605
 07/01  01:17:00,431.19416905361305
 07/01  01:18:00,431.0873649209543
 07/01  01:19:00,430.9826483919667
 07/01  01:20:00,430.8799331806771
 07/01  01:21:00,430.77914586299494
 07/01  01:22:00,430.680200887266
 07/01  01:23:00,430.58300396053664
 07/01  01:24:00,430.48746049918947
 07/01  01:25:00,430.39348046214764
 07/01  01:26:00,430.3010077092112
 07/01  01:27:00,430.20999529424637
 07/01  01:28:00,430.12038499173616
 07/01  01:29:00,430.0321103287141
 07/01  01:30:00,429.9451037332245
 07/01  01:31:00,429.8593006666877
 07/01  01:32:00,429.7746659245324
 07/01  01:33:00,429.69117142643387
 07/01  01:34:00,429.60877792504846
 07/01  01:35:00,429.5274378638258
 07/01  01:36:00,429.44710185336226
 07/01  01:37:00,429.3677224159213
 07/01  01:38:00,429.2892776213271
 07/01  01:39:00,429.2117512373021
 07/01  01:40:00,429.1351163637364
 07/01  01:41:00,429.0593380226065
 07/01  01:42:00,428.98437900400904
 07/01  01:43:00,428.910203306171
 07/01  01:44:00,428.83679740332923
 07/01  01:45:00,428.7641524202687
 07/01  01:46:00,428.69224944605014
 07/01  01:47:00,428.62106192915695
 07/01  01:48:00,428.5505609544574
 07/01  01:49:00,428.48071833708923
 07/01  01:50:00,428.4115258023721
 07/01  01:51:00,428.3429789974961
 07/01  01:52:00,428.2750642673415
 07/01  01:53:00,428.2077608010007
 07/01  01:54:00,428.1410454011805
 07/01  01:55:00,428.0748953304437
 07/01  01:56:00,428.0093056565685
 07/01  01:57:00,427.9442748056314
 07/01  01:58:00,427.87979261606233
 07/01  01:59:00,427.8158423301204
 07/01  02:00:00,427.7524049234186
 07/01  02:01:00,427.71336582929223
 07/01  02:02:00,427.67460768157713
 07/01  02:03:00,427.63612223253523
 07/01  02:04:00,427.5979214245394
 07/01  02:05:00,427.5600123796838
 07/01  02:06:00,427.5223951150399
 07/01  02:07:00,427.48506573309635
 07/01  02:08:00,427.44803146401074
 07/01  02:09:00,427.4113009345939
 07/01  02:10:00,427.37487561090194
 07/01  02:11:00,427.33875128437404
 07/01  02:12:00,427.3029214265602
 07/01  02:13:00,427.26737906199594
 07/01  02:14:00,427.2321288132361
 07/01  02:15:00,427.19717700472665
 07/01  02:16:00,427.16252342892767
 07/01  02:17:00,427.12816275209354
 07/01  02:18:00,427.0940875805049
 07/01  02:19:00,427.060290193638
 07/01  02:20:00,427.0267735719915
 07/01  02:21:00,426.99354229570883
 07/01  02:22:00,426.96059510981144
 07/01  02:23:00,426.92792619699014
 07/01  02:24:00,426.8955278869915
 07/01  02:25:00,426.8633923132045
 07/01  02:26:00,426.83152143588757
 07/01  02:27:00,426.7999187261831
 07/01  02:28:00,426.76858242061684
 07/01  02:29:00,426.73750658907625
 07/01  02:30:00,426.7066836806099
 07/01  02:31:00,426.6761060342146
 07/01  02:32:00,426.6457749658054
 07/01  02:33:00,426.6156932440496
 07/01  02:34:00,426.5858588781443
 07/01  02:35:00,426.55626608427644
 07/01  02:36:00,426.52690766003553
 07/01  02:37:00,426.49777627597945
 07/01  02:38:00,426.4688728781458
 07/01  02:39:00,426.44019979340226
 07/01  02:40:00,426.4117549559881
 07/01  02:41:00,426.3835328745969
 07/01  02:42:00,426.3555267689088
 07/01  02:43:00,426.32772974564585
